CID,NAME,START_DATE,END_DATE
1,coca cola,1-Dec-2012,30-Dec-2022
2,pepsi,1-Dec-2012,15-Dec-2022
3,dr pepper,1-Dec-2012,30-Dec-2012
4,sprite,1-Dec-2012,30-Dec-2019
5,seven up,1-Dec-2012,30-Dec-2022
6,naked juice,1-Dec-2012,30-Dec-2012
7,odawala,1-Dec-2012,30-Dec-2012
8,gatorade,1-Dec-2012,15-Dec-2022
9,red bull,1-Dec-2012,30-Dec-2022
10,monster,1-Dec-2012,30-Dec-2022
11,virgin air,1-Dec-2012,30-Dec-2012
12,american air,1-Dec-2012,30-Dec-2012
13,lufthansa,1-Dec-2012,15-Dec-2022
14,delta air,1-Dec-2012,30-Dec-2012
15,united air,1-Dec-2012,30-Dec-2022
16,US airways,1-Dec-2012,30-Dec-2012
17,Air India,1-Dec-2012,30-Dec-2022
18,British air,1-Dec-2012,30-Dec-2012
19,Hawaii air,1-Dec-2012,15-Dec-2022
20,Emirates Air,1-Dec-2012,30-Dec-2022
21,Vdara Hotel,1-Dec-2012,30-Dec-2012
22,MGM Resort,1-Dec-2012,30-Dec-2022
23,Cosmopolitan,1-Dec-2012,15-Dec-2012
24,NYNY Vegas,1-Dec-2012,30-Dec-2012
25,Excalibur,1-Dec-2012,30-Dec-2012
26,Planet Hollywood,1-Dec-2012,30-Dec-2022
27,Circus Circus,1-Dec-2012,30-Dec-2012
28,Treasure Island,1-Dec-2012,15-Dec-2022
29,Mandalay Bay,1-Dec-2012,30-Dec-2012
30,Mirage Vegas,1-Dec-2012,30-Dec-2012
31,Chik fillet,1-Dec-2012,30-Dec-2012
32,Macdonalds,1-Dec-2012,30-Dec-2022
33,subway,1-Dec-2012,30-Dec-2012
34,quiznos,1-Dec-2012,15-Dec-2012
35,Wendys,1-Dec-2012,30-Dec-2012
36,Arbys,1-Dec-2012,30-Dec-2012
37,jack in a box,1-Dec-2012,30-Dec-2012
38,burger king,1-Dec-2012,30-Dec-2022
39,taco bell,1-Dec-2012,30-Dec-2012
40,pizza hut,1-Dec-2012,15-Dec-2012
41,mimis cafe,1-Dec-2012,30-Dec-2012
42,boiling crab,1-Dec-2012,30-Dec-2012
43,red lobster,1-Dec-2012,30-Dec-2022
44,olive garden,1-Dec-2012,30-Dec-2012
45,Wokanos grill,1-Dec-2012,15-Dec-2012
46,katsuya,1-Dec-2012,30-Dec-2012
47,dennys,1-Dec-2012,30-Dec-2022
48,ihop,1-Dec-2012,30-Dec-2012
49,hooters,1-Dec-2012,30-Dec-2012
50,norms cafe,1-Dec-2012,30-Dec-2012
51,Mobil,1-Dec-2012,15-Dec-2012
52,shell,1-Dec-2012,30-Dec-2012
53,chevron,1-Dec-2012,30-Dec-2022
54,76 gas,1-Dec-2012,30-Dec-2012
55,arco,1-Dec-2012,30-Dec-2012
56,whole foods,1-Dec-2012,15-Dec-2012
57,ralphs,1-Dec-2012,30-Dec-2012
58,vons,1-Dec-2012,30-Dec-2012
59,walgreens,1-Dec-2012,30-Dec-2012
60,safeway,1-Dec-2012,30-Dec-2012
61,cvs phasrmacy,1-Dec-2012,15-Dec-2012
62,99 cent store,1-Dec-2012,30-Dec-2012
63,Motel 6,1-Dec-2012,30-Dec-2012
64,Best value inn,1-Dec-2012,15-Dec-2012
65,Everbridge suites,1-Dec-2012,30-Dec-2012
66,radisson hotel,1-Dec-2012,30-Dec-2012
67,hyatt regency,1-Dec-2012,15-Dec-2012
68,marriott resorts,1-Dec-2012,30-Dec-2012
69,holiday inn,1-Dec-2012,30-Dec-2012
70,Hotels.com,1-Dec-2012,30-Dec-2012
71,Apple TV,1-Dec-2012,30-Dec-2012
72,Apple Iphone,1-Dec-2012,30-Dec-2012
73,Apple Ipad,1-Dec-2012,15-Dec-2012
74,Apple Macbook,1-Dec-2012,30-Dec-2012
75,Apple Imac,1-Dec-2012,30-Dec-2012
76,nationwide insurance,1-Dec-2012,30-Dec-2012
77,State farm insurance,1-Dec-2012,30-Dec-2012
78,farmers insurance,1-Dec-2012,15-Dec-2012
79,geico insurance,1-Dec-2012,30-Dec-2012
80,mercury insurance,1-Dec-2012,30-Dec-2012
81,ford fusion,1-Dec-2012,30-Dec-2012
82,ford focus,1-Dec-2012,30-Dec-2012
83,ford trucks,1-Dec-2012,15-Dec-2012
84,infinity fx35,1-Dec-2012,30-Dec-2012
85,Audi,1-Dec-2012,30-Dec-2012
86,BMW,1-Dec-2012,30-Dec-2012
87,Mercedes benz,1-Dec-2012,15-Dec-2012
88,Chevrolet,1-Dec-2012,30-Dec-2012
89,Dodge,1-Dec-2012,30-Dec-2022
90,Att Mobile,1-Dec-2012,30-Dec-2012
91,tmobile,1-Dec-2012,30-Dec-2012
92,verizon wireless,1-Dec-2012,15-Dec-2012
93,sprint mobile,1-Dec-2012,30-Dec-2012
94,boost mobile,1-Dec-2012,30-Dec-2012
95,toyota,1-Dec-2012,30-Dec-2012
96,honda,1-Dec-2012,15-Dec-2012
97,cadillac,1-Dec-2012,15-Dec-2012
98,mini cooper,1-Dec-2012,30-Dec-2012
99,AMC theaters,1-Dec-2012,30-Dec-2012
100,My Space Music,1-Dec-2012,30-Dec-2012
